色番号,色名,R,G,B,カテゴリ
A126,ミルキーローズ,217,182,214,1
A127,ミルキーグレープ,173,98,164,1
A128,ミルキーピーチ,230,140,163,1
A129,フラゴナールピンク,222,84,121,1
A130,ミルキーラベンダー,158,130,186,1
A131,フラミンゴピンク,232,65,107,1
A132,ピンクパープル,183,56,143,1
A133,アメジストパープル,88,31,126,1
A134,ペールアイリス,140,163,212,1
A135,ミルキーウィステリア,154,154,204,1
A136,ミルキーウルトラマリン,89,129,193,1
A137,ライトウルトラマリン,65,102,176,1
A138,アガパンサスブルー,71,95,171,1
A139,ライトサルビアブルー,55,69,147,1
A140,ウルトラマリン,61,86,165,1
A141,ディープウルトラマリン,41,66,153,1
A142,サルビアブルー,37,38,138,1
A143,ネイビー,26,47,111,1
A144,ミルキーマスカット,211,201,93,1
A145,ワインレッド,81,9,24,1
A146,ライトセラドン,100,179,158,1
A147,チョコブラウン,99,67,56,1
A148,ライトバターイエロー,237,211,158,1
A149,ウィステリア,105,99,171,1
A150,ダークアイビーグリーン,43,63,31,1
A151,ライトウィステリア,151,145,197,1
A152,ホワイトウィステリア,184,189,224,1
A153,ミルキーベージュ,249,200,152,1
A154,カフェオレブラウン,195,144,105,1
A155,アイアングレー,68,80,91,1
A156,ミリタリーグレー,62,73,85,1
A157,チャコールブラック,32,40,48,1
