色番号,色名,R,G,B,L,a,b,カテゴリ
#169,パーチメント,166,159,136,65.5,-1.41,12.93,0
#170,ライトキャラメル,171,146,120,62.15,5.34,17.26,0
#171,サンドブラウン,193,178,162,73.41,2.68,10.11,0
#172,アイビーグリーン,146,172,160,68.13,-11.4,3.16,0
#173,チャコールグレー,76,54,58,25.2,10.55,1.37,0
#174,メロングリーン,0,179,136,64.97,-48.87,11.27,0
#175,アイスミントライム,181,227,216,86.86,-17.03,0.47,0
#176,パールコバルトブルー,,,,,,,0
#177,パールベージュ,,,,,,,0
#178,パールシルバー,,,,,,,0
#179,パールゴールド,,,,,,,0
#180,パールクリムゾン,,,,,,,0
#181,パールワインレッド,,,,,,,0
#182,パールゴールデンイエロー,,,,,,,0
#183,パールダークブルー,,,,,,,0
#184,パールダークグリーン,,,,,,,0
#185,パールアイボリー,,,,,,,0
#186,パールピンクホワイト,,,,,,,0
#187,パールパープル,,,,,,,0
#188,パールチェリーブロッサム,,,,,,,0
#189,パールペールレッド,,,,,,,0
#190,パールペールブルー,,,,,,,0
#191,カッパーレッド,186,12,47,39.43,62.85,30.82,0
#192,アルパイングリーン,91,92,74,38.5,-3.89,10.25,0
#193,ビリジアン,0,111,98,41.61,-30.22,-0.41,0
#194,ピーコックグリーン,39,153,137,57.09,-34.78,-0.57,0
#195,レッドゴールド,237,155,51,70.66,22.56,63.3,0
#196,ミッドナイトブルー,0,51,73,19.43,-6.3,-17.98,0
#197,ダークスカイブルー,0,125,186,49.75,-6.22,-40.02,0
#198,ブルーパープル,68,73,156,34.79,23.0,-46.1,0
#199,キャラメルブラウン,164,90,42,46.14,26.46,39.9,0
#200,チャコールブラック,49,38,29,16.15,3.54,7.93,0
#201,ひそくいろ,164,188,194,74.67,-6.89,-5.79,0
#202,ターコイズブルー,0,133,155,50.85,-22.2,-20.36,0
#203,クリームイエロー,,,,,,,0
#204,スノーホワイト,,,,,,,0
#205,ミルキーピーチ,,,,,,,0
#206,パステルベージュ,,,,,,,0
#207,パステルグリーン,,,,,,,0
#208,パステルオレンジ,,,,,,,0
#209,ライトパーチメント,,,,,,,0
#210,パステルピーチ,,,,,,,0
#211,パステルライトベージュ,,,,,,,0
#212,パステルブルー,,,,,,,0
#213,ヨークイエロー,,,,,,,0
#214,ミルキーホワイト,,,,,,,0
#215,パステルピンク,,,,,,,0
#216,パステルイエロー,,,,,,,0
#217,パステルパープル,,,,,,,0
#218,パステルレッド,,,,,,,0
#219,サンストーン,,,,,,,0
#220,ルビー,,,,,,,0
#221,シリトン,,,,,,,0
#222,エメラルド,,,,,,,0
#223,アメジスト,,,,,,,0
#224,サファイア,,,,,,,0
#225,アクアマリン,,,,,,,0
#226,アンバー,,,,,,,0
#227,ペリドット,,,,,,,0
#228,ローズクオーツ,,,,,,,0
#229,シャンパンガーネット,,,,,,,0
#230,オパール,,,,,,,0
#231,ターコイズ,,,,,,,0
#232,ガーネット,,,,,,,0
#233,ヒスイ,,,,,,,0
#234,ネイビー,77,73,190,37.95,36.06,-61.16,0
#235,マルベリーパープル,165,132,150,58.7,15.68,-4.82,0
#236,アイアングレー,162,172,171,69.56,-3.7,-0.71,0
#237,フクシアパープル,207,135,157,64.18,30.57,-0.23,0
#238,ローズグレー,202,167,181,71.91,15.08,-2.38,0
#239,ナイルブルー,89,190,201,71.67,-26.19,-14.48,0
#240,フォレストグリーン,104,152,129,58.96,-21.32,6.98,0
#241,ベビーピンク,222,190,210,80.19,14.73,-5.79,0
#242,サンフラワー,255,200,69,83.44,7.25,69.38,0
#243,ダークピンク,205,84,91,51.93,48.54,20.75,0
#244,ライトパープル,111,121,189,52.65,13.75,-36.91,0
#245,シェルピンク,232,146,124,68.88,30.09,25.28,0
#246,サーモン,219,123,81,61.5,33.58,38.95,0
#247,ライトカフェオレ,173,124,89,56.11,14.77,26.6,0
#248,アンティックゴールド,137,122,39,51.13,-4.15,45.43,0
A01,ホワイト,255,255,255,100.0,-0.0,-0.01,1
A02,ブラック,0,0,0,0.0,0.0,0.0,1
A03,タンジェリン,246,176,76,76.78,16.33,59.44,1
A04,オレンジ,237,139,0,66.88,30.01,72.67,1
A05,スイカ,225,6,0,47.16,72.37,61.2,1
A06,レッド,186,12,47,39.43,62.85,30.82,1
A07,ピンク,241,167,220,76.99,35.18,-15.78,1
A08,ピーチ,255,52,179,58.95,82.18,-19.95,1
A09,ローズ,219,33,82,47.96,69.54,21.35,1
A10,ライトイエロー,242,240,161,93.35,-10.93,38.49,1
A11,ヨークイエロー,255,209,0,85.44,1.12,86.08,1
A12,ライトグリーン,173,220,145,82.97,-28.62,32.03,1
A13,レモングリーン,135,216,57,78.79,-49.2,66.11,1
A14,アップルグリーン,36,158,107,57.93,-44.87,17.53,1
A15,ダークグリーン,0,124,88,45.8,-38.74,11.52,1
A16,コーラル,255,106,19,63.03,53.38,68.3,1
A17,ダークコーラル,255,103,31,62.56,54.9,64.54,1
A18,ライトブルー,170,220,235,84.86,-12.68,-12.59,1
A19,アズールブルー,65,182,230,69.68,-17.21,-33.42,1
A20,レイクブルー,0,144,218,57.08,-5.13,-46.58,1
A21,ダークブルー,0,51,153,25.76,28.89,-59.1,1
A22,フレッシュ,252,191,169,82.28,18.98,19.6,1
A23,ベージュ,204,153,102,66.96,12.97,34.11,1
A24,バターイエロー,255,231,128,91.67,-4.73,52.71,1
A25,ラベンダー,167,123,202,58.65,32.07,-34.58,1
A26,ライトパープル,160,94,181,50.47,41.52,-35.39,1
A27,ダークパープル,51,0,114,15.05,45.7,-52.12,1
A28,ソイルブラウン,180,126,0,56.71,12.35,62.57,1
A29,ライトブラウン,164,73,61,42.76,36.68,25.42,1
A30,バーミリオン,122,62,44,33.49,24.32,22.69,1
A31,ミルクチョコブラウン,123,77,53,37.44,16.71,22.22,1
A32,コーヒーブラウン,92,71,56,31.96,6.59,12.45,1
A33,ライトグレー,155,155,155,63.98,-0.0,-0.01,1
A34,ダークグレー,118,119,119,49.95,-0.38,-0.14,1
A35,シルバー,160,159,157,65.52,-0.02,1.16,1
A36,ダークピンク,201,128,158,61.93,32.34,-4.18,1
A37,ブルー,20,123,209,50.59,4.7,-51.83,1
A38,トルコブルー,105,179,231,70.18,-8.49,-33.07,1
A39,ラムネ,153,214,234,82.27,-14.57,-16.03,1
A40,マスカット,206,220,0,84.13,-25.15,83.23,1
A41,パステルイエロー,246,235,97,91.63,-12.66,66.38,1
A42,イエロー,250,224,83,89.05,-6.38,69.44,1
A43,クリムゾンレッド,165,0,52,34.5,59.21,20.63,1
A44,ライトコーラル,255,163,139,75.65,31.47,26.68,1
A45,メロングリーン,93,219,93,78.33,-59.42,50.76,1
A46,レモン,243,234,93,91.09,-13.63,67.39,1
A47,ライトベージュ,243,207,179,85.47,8.52,18.61,1
A48,ゴールデンイエロー,255,199,44,83.07,6.89,77.28,1
A49,ディープピンク,236,134,208,69.07,48.72,-21.22,1
A50,ライトラベンダー,197,180,227,76.11,15.08,-21.31,1
A51,アイボリー,252,251,205,97.67,-7.0,22.22,1
A52,パープル,74,31,135,24.27,42.63,-50.23,1
A53,ライム,115,211,60,76.41,-53.49,62.41,1
A54,ピーコックブルー,0,178,169,65.52,-39.43,-6.21,1
A55,ジェイドグリーン,108,194,74,71.05,-47.72,51.04,1
A56,グレー,136,139,141,57.68,-0.7,-1.46,1
A57,ブラッドレッド,188,4,35,39.42,63.83,38.07,1
A58,ミッドナイトブルー,5,8,73,6.2,25.43,-39.33,1
A59,ダークレッド,83,26,35,18.8,27.34,8.23,1
A60,パステルアクア,158,229,176,85.22,-32.79,18.93,1
A61,ハネデュー,241,235,156,91.92,-9.4,39.1,1
A62,パステルレッド,252,63,63,56.7,69.95,44.47,1
A63,パステルパルム,234,190,219,81.53,20.42,-8.52,1
A64,パステルベリー,165,0,80,35.16,60.99,3.24,1
A65,パステルオレンジ,239,129,46,65.16,36.78,60.27,1
A66,パステルピンク,252,108,133,64.26,57.0,14.35,1
A67,パステルパープル,177,78,181,49.66,54.35,-36.51,1
A68,パステルブルー,105,194,238,74.67,-14.43,-29.94,1
A69,マットブラック,35,40,43,15.74,-1.42,-2.72,1
A70,ダークフォレストグリーン,24,48,40,17.74,-11.76,2.2,1
A71,ブライトイエロー,234,170,0,73.7,12.37,76.97,1
A72,クリームチェダーイエロー,255,197,110,83.08,11.21,51.02,1
A73,キャラメルブラウン,184,97,37,50.54,30.86,47.64,1
A74,ミルクティーブラウン,205,178,119,73.64,1.64,33.71,1
A75,シナモンブラウン,181,129,80,58.14,14.54,34.3,1
A76,サーモンピンク,255,109,106,64.36,55.4,29.9,1
A77,コンビーフピンク,170,87,97,47.27,34.94,9.92,1
A78,サラミレッド,92,19,27,19.31,33.18,14.86,1
A79,アイスブルー,89,213,216,78.85,-33.19,-11.82,1
A80,アルノブルー,0,174,199,65.27,-28.08,-23.23,1
A81,ターコイズ,72,169,197,64.79,-19.81,-22.76,1
A82,セルリアンブルー,0,174,214,65.85,-23.0,-30.64,1
A83,コバルトブルー,0,133,173,51.6,-15.71,-29.63,1
A84,オリーブグリーン,155,188,17,71.54,-30.93,70.2,1
A85,ダークオリーブグリーン,153,155,48,62.02,-14.28,53.15,1
A86,ピーマングリーン,0,133,34,48.12,-51.26,42.36,1
A87,ゴーストホワイト,239,239,239,94.45,-0.0,-0.01,1
A88,アッシュホワイト,209,209,209,83.84,-0.0,-0.01,1
A89,コンクリートグレー,187,188,188,76.17,-0.35,-0.13,1
A90,カーボングレー,72,73,85,31.34,2.42,-7.24,1
A91,クレセントイエロー,222,185,71,76.49,1.2,60.52,1
A92,ペールベージュ,218,182,152,76.45,8.61,20.12,1
A93,ソーセージピンク,244,169,153,76.02,25.64,19.39,1
A94,ローズオレンジ,238,125,103,64.83,41.44,31.68,1
A95,アプリコットオレンジ,240,134,97,66.86,37.18,37.56,1
A96,キャロットオレンジ,212,114,42,58.23,33.55,54.14,1
A97,ヒマラヤブルー,100,172,223,67.68,-8.12,-32.59,1
A98,アカプルコブルー,100,194,220,73.84,-20.65,-21.49,1
A99,ボニーブルー,79,159,179,61.4,-18.68,-17.83,1
A100,エレクトリックブルー,49,150,221,59.6,-4.57,-44.23,1
A101,アメリカンブルー,27,108,182,44.71,3.98,-45.69,1
A102,エンパイアブルー,8,57,128,25.37,14.59,-44.24,1
A103,アドニスブルー,10,102,139,40.3,-10.33,-27.22,1
A104,ダークターコイズ,8,91,110,35.32,-15.12,-17.22,1
A105,ガーターブルー,0,78,120,31.36,-3.79,-29.64,1
A106,ダックブルー,0,85,116,33.47,-9.83,-23.82,1
A107,ミルキーカーキ,204,190,128,76.81,-4.08,33.11,1
A108,パステルカーキ,164,147,80,61.08,-2.78,37.49,1
A109,ライトカーキ,158,136,60,57.27,-1.04,42.95,1
A110,カーキ,118,108,43,45.29,-4.8,36.87,1
